Entity,Code,Year,"Homicide rate per 100,000 population - Male - All ages","Homicide rate per 100,000 population - Female - All ages",Continent
Abkhazia,OWID_ABK,2015,,,Asia
Afghanistan,AFG,2018,,1.4390535,
Afghanistan,AFG,2019,,1.274152,
Afghanistan,AFG,2015,,,Asia
Africa (UN),,2000,22.495455,4.896529,
Africa (UN),,2001,22.3929,4.8821993,
Africa (UN),,2002,22.267588,4.873816,
Africa (UN),,2003,21.533895,4.742347,
Africa (UN),,2004,21.125988,4.653395,
Africa (UN),,2005,20.89501,4.5973587,
Africa (UN),,2006,21.028109,4.56095,
Africa (UN),,2007,20.65896,4.516514,
Africa (UN),,2008,20.61896,4.438249,
Africa (UN),,2009,20.189137,4.551408,
Africa (UN),,2010,19.918777,4.585107,
Africa (UN),,2011,20.109203,4.5198946,
Africa (UN),,2012,20.21572,4.509749,
Africa (UN),,2013,20.231413,4.52926,
Africa (UN),,2014,20.455252,4.550145,
Africa (UN),,2015,20.195,4.570774,
Africa (UN),,2016,20.152252,4.5470304,
Africa (UN),,2017,20.53212,4.527069,
Africa (UN),,2018,20.195713,4.465843,
Africa (UN),,2019,20.229465,4.4223237,
Africa (UN),,2020,19.75433,4.4011393,
Africa (UN),,2021,20.752157,4.581525,
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia
Aland Islands,ALA,2015,,,Europe
Albania,ALB,1992,6.943821,0.8572186,
Albania,ALB,1993,10.51989,0.9772813,
Albania,ALB,1994,6.0430408,0.7320633,
Albania,ALB,1995,14.164978,1.5858861,
Albania,ALB,1996,14.934878,1.709849,
Albania,ALB,1997,71.38472,10.839451,
Albania,ALB,1998,35.664993,5.3520083,
Albania,ALB,1999,29.330063,4.0221853,
Albania,ALB,2000,7.4797564,0.81025714,
Albania,ALB,2001,11.580672,2.4518077,
Albania,ALB,2002,11.43055,2.476082,
Albania,ALB,2003,9.448926,1.3475143,
Albania,ALB,2004,7.3622622,1.2326849,
Albania,ALB,2005,8.817132,1.3777657,
Albania,ALB,2006,4.812741,1.5258485,
Albania,ALB,2007,5.4558387,1.609188,
Albania,ALB,2008,5.018099,1.2863678,
Albania,ALB,2009,5.320408,0.47798258,
Albania,ALB,2010,7.401813,0.75637895,
Albania,ALB,2011,8.528817,1.2441598,
Albania,ALB,2012,9.032175,1.8032733,
Albania,ALB,2013,7.1817775,1.3899463,
Albania,ALB,2014,8.432802,0.8348578,
Albania,ALB,2015,3.3200026,1.1136644,Europe
Albania,ALB,2016,4.2916555,1.1835152,
Albania,ALB,2017,3.1181262,0.9051787,
Albania,ALB,2018,3.5386956,1.0447109,
Albania,ALB,2019,3.6144104,0.9057984,
Albania,ALB,2020,3.6268096,0.6280173,
Albania,ALB,2021,3.7869358,0.8398921,
Algeria,DZA,2012,1.0265324,0.28470418,
Algeria,DZA,2013,0.87759626,0.20934504,
Algeria,DZA,2014,2.487979,0.44979757,
Algeria,DZA,2015,2.357059,0.3661507,Africa
Algeria,DZA,2016,2.2718081,0.37911308,
Algeria,DZA,2017,2.2326846,0.27756804,
Algeria,DZA,2018,2.2562795,0.41819835,
Algeria,DZA,2019,1.990173,0.41053125,
Algeria,DZA,2020,2.4036615,0.57226574,
Algeria,DZA,2021,2.3780692,0.7379827,
American Samoa,ASM,2016,0,0,
American Samoa,ASM,2017,24.291006,4.0383644,
American Samoa,ASM,2018,49.72238,4.1169205,
American Samoa,ASM,2019,0,0,
American Samoa,ASM,2015,,,Oceania
Americas (UN),,2000,27.929867,3.2988179,
Americas (UN),,2001,29.21018,3.5465481,
Americas (UN),,2002,29.351204,3.4828568,
Americas (UN),,2003,29.106739,3.3804183,
Americas (UN),,2004,27.213102,3.2055676,
Americas (UN),,2005,26.70108,3.1654685,
Americas (UN),,2006,27.230465,3.1282773,
Americas (UN),,2007,26.545637,3.0198183,
Americas (UN),,2008,28.353941,3.1185722,
Americas (UN),,2009,29.58988,3.3550196,
Americas (UN),,2010,30.176449,3.4038317,
Americas (UN),,2011,30.627401,3.50171,
Americas (UN),,2012,30.858852,3.5072324,
Americas (UN),,2013,29.932611,3.3927472,
Americas (UN),,2014,29.45706,3.330867,
Americas (UN),,2015,28.964785,3.2711084,
Americas (UN),,2016,30.23073,3.4462934,
Americas (UN),,2017,30.620438,3.611648,
Americas (UN),,2018,29.567179,3.5024092,
Americas (UN),,2019,27.196405,3.2841473,
Americas (UN),,2020,27.163603,3.282308,
Americas (UN),,2021,26.87314,3.351651,
Andorra,AND,2007,0,0,
Andorra,AND,2008,0,2.7127104,
Andorra,AND,2009,0,0,
Andorra,AND,2010,0,0,
Andorra,AND,2011,2.8032799,0,
Andorra,AND,2012,0,0,
Andorra,AND,2013,0,0,
Andorra,AND,2014,0,0,
Andorra,AND,2015,0,0,Europe
Andorra,AND,2020,5.048529,,
Angola,AGO,2015,,,Africa
Anguilla,AIA,1991,23.369946,0,
Anguilla,AIA,1993,0,21.746222,
Anguilla,AIA,2000,18.368847,0,
Anguilla,AIA,2008,15.983377,0,
Anguilla,AIA,2009,15.7207985,0,
Anguilla,AIA,2013,14.857738,0,
Anguilla,AIA,2015,,,North America
Antarctica,ATA,2015,,,Antarctica
Antigua and Barbuda,ATG,1990,0,3.0456235,
Antigua and Barbuda,ATG,1991,3.2554734,6.07598,
Antigua and Barbuda,ATG,1992,3.208007,2.9862335,
Antigua and Barbuda,ATG,1993,12.649422,0,
Antigua and Barbuda,ATG,1994,12.461641,2.8593078,
Antigua and Barbuda,ATG,1995,15.328489,5.589871,
Antigua and Barbuda,ATG,1996,6.029363,2.7302263,
Antigua and Barbuda,ATG,1997,2.9642804,0,
Antigua and Barbuda,ATG,2001,17.365229,1.9259791,
Antigua and Barbuda,ATG,2002,10.330294,3.056683,
Antigua and Barbuda,ATG,2008,27.94183,11.393804,
Antigua and Barbuda,ATG,2015,9.334235,2.1237059,North America
Antigua and Barbuda,ATG,2016,16.212523,4.2204776,
Antigua and Barbuda,ATG,2017,41.41692,4.196523,
Antigua and Barbuda,ATG,2018,20.587664,6.2617407,
Antigua and Barbuda,ATG,2019,4.549487,2.076606,
Antigua and Barbuda,ATG,2020,18.085022,2.0648997,
Antigua and Barbuda,ATG,2021,24.712992,10.265149,
Argentina,ARG,2015,11.447357,1.7707825,South America
Argentina,ARG,2017,8.754653,1.8337847,
Argentina,ARG,2018,9.041722,1.7657576,
Argentina,ARG,2019,8.554004,1.805937,
Argentina,ARG,2020,9.167151,1.6315559,
Argentina,ARG,2021,7.9634733,1.3472174,
Armenia,ARM,1990,9.027738,1.2407959,
Armenia,ARM,1991,8.926263,1.5937531,
Armenia,ARM,1993,12.9094305,2.9994042,
Armenia,ARM,1994,8.223708,1.3928211,
Armenia,ARM,1995,6.127272,1.0967488,
Armenia,ARM,1996,5.80478,1.3285398,
Armenia,ARM,1997,5.0473776,1.2593378,
Armenia,ARM,1998,5.0474935,0.9090192,
Armenia,ARM,1999,4.6626225,1.1415657,
Armenia,ARM,2000,4.3539433,1.545975,
Armenia,ARM,2001,4.713852,1.1094686,
Armenia,ARM,2002,3.3828914,1.1909264,
Armenia,ARM,2003,4.499986,0.6634455,
Armenia,ARM,2004,4.24809,1.3498544,
Armenia,ARM,2005,3.3002477,0.67771107,
Armenia,ARM,2006,3.7564263,1.6093382,
Armenia,ARM,2007,4.58127,0.8087592,
Armenia,ARM,2008,5.1055827,1.6476126,
Armenia,ARM,2009,5.2514515,1.5691227,
Armenia,ARM,2010,3.3846662,0.6300314,
Armenia,ARM,2011,3.858792,1.201464,
Armenia,ARM,2012,3.4382677,1.2051723,
Armenia,ARM,2013,3.3102818,1.2085034,
Armenia,ARM,2014,3.9359694,1.2748752,
Armenia,ARM,2015,4.112312,1.3414549,Asia
Armenia,ARM,2016,5.2899203,0.8965925,
Armenia,ARM,2017,4.555902,0.7065324,
Armenia,ARM,2018,3.0350325,0.70896274,
Armenia,ARM,2019,4.9420776,0.6469,
Armenia,ARM,2020,2.8446984,1.038896,
Armenia,ARM,2021,3.7405536,0.9123642,
Aruba,ABW,1990,0,0,
Aruba,ABW,1995,16.0748,0,
